xi,ti,ci
10,0,8.64E-308
10,0.1,2.10E-242
10,0.2,1.01E-188
10,0.3,6.92E-146
10,0.4,8.99E-114
10,0.5,3.37E-91
10,0.6,7.39E-75
10,0.7,4.22E-62
10,0.8,9.18E-52
10,0.9,2.75E-43
10,1,2.42E-36
10,1.1,1.11E-30
10,1.2,4.35E-26
10,1.3,2.37E-22
10,1.4,2.74E-19
10,1.5,9.51E-17
10,1.6,1.30E-14
10,1.7,8.45E-13
10,1.8,3.03E-11
10,1.9,6.70E-10
10,2,9.86E-09
10,2.1,1.03E-07
10,2.2,8.08E-07
10,2.3,4.92E-06
10,2.4,2.41E-05
10,2.5,9.77E-05
10,2.6,0.000334651
10,2.7,0.000987315
10,2.8,0.0025514
10,2.9,0.00585748
10,3,0.0120953
10,3.1,0.0227109
10,3.2,0.0391538
10,3.3,0.0625212
10,3.4,0.0932046
10,3.5,0.130665
10,3.6,0.173426
10,3.7,0.219293
10,3.8,0.265731
10,3.9,0.310287
10,4,0.350952
10,4.1,0.386371
10,4.2,0.4159
10,4.3,0.439531
10,4.4,0.457729
10,4.5,0.471244
10,4.6,0.480946
10,4.7,0.487691
10,4.8,0.492239
10,4.9,0.49522
10,5,0.497122
10,5.1,0.498304
10,5.2,0.499021
10,5.3,0.499446
10,5.4,0.499692
10,5.5,0.499832
10,5.6,0.49991
10,5.7,0.499953
10,5.8,0.499975
10,5.9,0.499987
10,6,0.499994
10,6.1,0.499997
10,6.2,0.499998
10,6.3,0.499999
10,6.4,0.5
10,6.5,0.5
10,6.6,0.5
10,6.7,0.5
10,6.8,0.5
10,6.9,0.5
10,7,0.5
10,7.1,0.5
10,7.2,0.5
10,7.3,0.5
10,7.4,0.5
10,7.5,0.5
10,7.6,0.5
10,7.7,0.5
10,7.8,0.5
10,7.9,0.5
10,8,0.5
10,8.1,0.5
10,8.2,0.5
10,8.3,0.5
10,8.4,0.5
10,8.5,0.5
10,8.6,0.5
10,8.7,0.5
10,8.8,0.5
10,8.9,0.5
10,9,0.5
10,9.1,0.5
10,9.2,0.5
10,9.3,0.5
10,9.4,0.5
10,9.5,0.5
10,9.6,0.5
10,9.7,0.5
10,9.8,0.5
10,9.9,0.5
10,10,0.5
